Player,Subset,Rarity,Contract Address
Jo Adell,Inception Base,Common,MISSING
Shohei Ohtani,Inception Base,Legendary,MISSING
William Contreras,Rookie and Future Phenoms Facsimile Signature,Rare,MISSING
Ryan Mountcastle,Inception Base,Common,MISSING
Bobby Dalbec,Rookie and Future Phenoms Facsimile Signature,Legendary,MISSING
Chris Sale,Inception Base,Rare,MISSING
Jonathan Arauz,Rookie and Future Phenoms Facsimile Signature,Epic,MISSING
Xander Bogaerts,Inception Base,Common,MISSING
Anthony Rizzo,Inception Base,Uncommon,MISSING
Anthony Rizzo,Inception Base,Rare,MISSING
Javier Baez,Inception Base,Rare,MISSING
Kyle Hendricks,Inception Base,Common,MISSING
Willson Contreras,Inception Base,Uncommon,MISSING
Willson Contreras,Inception Base,Common,MISSING
Dane Dunning,Inception Base,Common,MISSING
Trevor Story,Inception Base,Rare,MISSING
Casey Mize,Inception Base,Uncommon,MISSING
Tarik Skubal,Inception Base,Uncommon,MISSING
Jose Altuve,Inception Base,Rare,MISSING
Brady Singer,Inception Base,Uncommon,MISSING
Jorge Soler,Inception Base,Uncommon,MISSING
Jorge Soler,Inception Base,Rare,MISSING
Cody Bellinger,Inception Base,Legendary,MISSING
Cody Bellinger,Inception Base,Rare,MISSING
Keibert Ruiz,Inception Base,Uncommon,MISSING
Keibert Ruiz,Inception Base,Common,MISSING
Mookie Betts,Inception Base,Legendary,MISSING
Evan White,Inception Base,Common,MISSING
Blake Snell,Inception Base,Rare,MISSING
Nate Pearson,Inception Base,Uncommon,MISSING
Juan Soto,Inception Base,Uncommon,MISSING
Max Scherzer,Inception Base,Uncommon,MISSING
Max Scherzer,Inception Base,Common,MISSING
Stephen Strasburg,Inception Base,Legendary,MISSING
Sterling Sharp,Rookie and Future Phenoms Facsimile Signature,Epic,MISSING
